"species","decimalLongitude","decimalLatitude"
"Anilios ammodytes",117.510556,-22.72
"Anilios ammodytes",115.5,-22.533333
"Anilios ammodytes",115.558056,-22.498333
"Anilios ammodytes",117.979722,-21.856111
"Anilios ammodytes",116.725278,-21.672778
"Anilios ammodytes",118.689444,-21.128056
"Anilios ammodytes",116.187222,-21.015278
"Anilios ammodytes",115.464167,-21.791389
"Anilios ammodytes",118.75,-22
"Anilios ammodytes",114.083333,-22.166667
"Anilios ammodytes",119.366667,-20.161944
"Anilios ammodytes",119.918611,-22.660833
"Anilios ammodytes",116.461111,-22.74
"Anilios ammodytes",120.124167,-21.954167
"Anilios ammodytes",117.083333,-21.1
"Anilios ammodytes",115.880556,-23.379167
"Anilios ammodytes",117.743611,-22.620278
"Anilios ammodytes",120.155278,-21.677222
"Anilios ammodytes",119.366667,-20.161944
"Anilios ammodytes",118.760833,-21.063611
"Anilios ammodytes",116.680556,-20.792222
"Anilios ammodytes",115.930278,-22.434722
"Anilios ammodytes",115.466667,-22.033333
"Anilios ammodytes",115.5775,-22.917778
"Anilios ammodytes",119.99,-22.36
"Anilios ammodytes",116.85,-20.733333
"Anilios ammodytes",118.75,-21.06
"Anilios ammodytes",119.840556,-22.675556
"Anilios ammodytes",116.453889,-21.941389
"Anilios ammodytes",119.103056,-22.24
"Anilios ammodytes",118.25,-22.35
"Anilios ammodytes",119.419722,-20.261389
"Anilios ammodytes",115.661389,-22.452222
"Anilios ammodytes",119.411944,-21.491944
"Anilios ammodytes",119.366667,-20.161944
"Anilios ammodytes",119.840556,-22.675556
"Anilios ammodytes",116.701944,-20.780278
"Anilios ammodytes",118.68,-20.91
"Anilios ammodytes",118.791667,-23.184722
"Anilios ammodytes",118.68,-20.91
"Anilios ammodytes",117.839444,-20.849722
"Anilios ammodytes",120.446944,-21.351111
"Anilios ammodytes",119.039722,-21.611111
"Anilios ammodytes",116.866667,-20.383333
"Anilios ammodytes",119.840556,-22.675556
"Anilios ammodytes",116.856667,-20.794444
"Anilios ammodytes",116.685,-20.792778
"Anilios ammodytes",119.006667,-22.414444
"Anilios ammodytes",120.659444,-22.516389
"Anilios ammodytes",120.088333,-21.678333
"Anilios ammodytes",117.666667,-23.2
"Anilios ammodytes",119.09,-22.5
"Anilios ammodytes",120.585,-21.271389
"Anilios ammodytes",117.748889,-22.808056
"Anilios ammodytes",118.64,-20.54
"Anilios ammodytes",120.071111,-21.4075
"Anilios ammodytes",122.0725,-22.34
"Anilios ammodytes",117.521944,-22.2175
"Anilios ammodytes",115.444444,-20.778611
"Anilios ammodytes",120.646389,-22.718333
"Anilios ammodytes",119.574444,-20.241944
"Anilios ammodytes",114.081667,-22.178333
"Anilios ammodytes",118.962222,-21.609722
"Anilios ammodytes",118.961944,-21.609444
"Anilios ammodytes",117.056944,-21.54
"Anilios ammodytes",118.833333,-20.416667
"Anilios ammodytes",119.189167,-22.268056
"Anilios ammodytes",119.263056,-22.783333
"Anilios ammodytes",115.248333,-21.779167
"Anilios ammodytes",120.689722,-20.885
"Anilios ammodytes",119.09,-22.5
"Anilios ammodytes",117.188333,-21.341111
"Anilios ammodytes",120.893889,-20.739167
"Anilios ammodytes",118.61,-20.61
"Anilios ammodytes",118.911944,-21.798056
"Anilios ammodytes",119.021389,-22.181944
"Anilios ammodytes",116.453889,-21.941389
"Anilios ammodytes",116.856667,-20.794444
"Anilios ammodytes",119.365556,-21.340278
"Anilios ammodytes",119.021944,-21.988056
"Anilios ammodytes",119.99,-22.39
"Anilios aspina",145.266667,-23.45
"Anilios aspina",145.4,-23.283333
"Anilios australis",116.066667,-31.916667
"Anilios australis",119.033333,-32.816667
"Anilios australis",122.995833,-33.8625
"Anilios australis",115.183333,-30.116667
"Anilios australis",115.716667,-32.516667
"Anilios australis",115.766667,-32.2
"Anilios australis",115.866667,-32.75
"Anilios australis",114.948333,-29.313889
"Anilios australis",117.05,-33.666667
"Anilios australis",116.1,-32.533333
"Anilios australis",113.316667,-26.233333
"Anilios australis",116.620833,-34.175
"Anilios australis",115.783333,-31.933333
"Anilios australis",118.103889,-31.856389
"Anilios australis",115.766667,-32.016667
"Anilios australis",116.092778,-33.296944
"Anilios australis",121.383333,-32.983333
"Anilios australis",120.033333,-33.916667
"Anilios australis",115.216667,-34.266667
"Anilios australis",116.046111,-31.873056
"Anilios australis",115.766667,-33.983333
"Anilios australis",120.5,-32.25
"Anilios australis",115.833,-33.166
"Anilios australis",115.3,-30.966667
"Anilios australis",117.366667,-32.75
"Anilios australis",115.85,-31.95
"Anilios australis",115.771111,-31.953889
"Anilios australis",120.1925,-33.725556
"Anilios australis",117.472778,-31.778611
"Anilios australis",115.85,-31.95
"Anilios australis",125.916,-28.116
"Anilios australis",121.466667,-30.733333
"Anilios australis",116.560833,-31.321111
"Anilios australis",115.0125,-33.662778
"Anilios australis",116.433333,-31.766667
"Anilios australis",123.458333,-33.458333
"Anilios australis",115.981389,-32.169167
"Anilios australis",115.8,-31.966667
"Anilios australis",121.247778,-30.54
"Anilios australis",120.302222,-33.681944
"Anilios australis",115.416667,-30.616667
"Anilios australis",116.033333,-32.183333
"Anilios australis",115.8,-31.933333
"Anilios australis",115.333333,-33.65
"Anilios australis",115.7,-33.283333
"Anilios australis",115.016667,-33.916667
"Anilios australis",116.166667,-31.95
"Anilios australis",116.066667,-32
"Anilios australis",115.7,-32.566667
"Anilios australis",116,-31.75
