"","time_mya","t_mean","t_median","t_sd","t_min","t_max","p_mean","p_median","p_sd","area_arid","area_non_arid","prop_arid","n_grid_cell"
"53",8.667,16.0800430423851,14.9505090454724,2.87962447031527,10.8375654220581,23.7269323834232,0.131659123904264,0.0073726516841943,0.216912760848591,82,722,0.101990049751244,804
"54",8.833,16.055609752954,14.8974567311993,2.89911961714776,10.5336713790894,23.6986519682575,0.126574103073769,0.00643903425954269,0.213326419296705,76,723,0.0951188986232791,799
"55",9,16.0071955783053,14.8711503032248,2.90890349862775,11.1244804076467,23.7214527130127,0.120666773520002,0.0045810267329216,0.208144800835752,72,731,0.0896637608966376,803
"56",9.167,15.9789143182011,14.8680970802665,2.90632908935258,11.1306651485659,23.6943054199219,0.116889740330928,0.0038175224326551,0.205642307765359,69,738,0.0855018587360595,807
"57",9.333,15.8577758289493,14.8245268911331,2.84232105480184,10.9366626739502,23.6745681762695,0.113601603346419,0.00305401789955795,0.203356118818195,68,740,0.0841584158415842,808
"58",9.5,15.8216667969974,14.7975888915006,2.83378784098839,10.7994193569958,23.7043217680922,0.109776151020971,0.00252119066515257,0.199992119993485,66,740,0.0818858560794045,806
"59",9.667,15.7860328887861,14.7981378351117,2.84525206438218,10.780250878357,23.69233321584,0.10303115492871,0.00152700894977897,0.192232478689066,62,747,0.0766378244746601,809
"60",9.833,15.7533865399883,14.7605344236786,2.81239526722259,10.7715006786638,23.6881998186876,0.0985814306724412,0.000763504474889487,0.188214989352662,57,758,0.0699386503067485,815
"61",10,15.7589644410645,14.753642443237,2.88404058049574,10.9776472585897,23.7039260864258,0.09802710698572,0,0.191891100149813,58,765,0.0704738760631835,823
"62",10.167,15.650142838617,14.7267042480658,2.81322396005813,10.9797393111851,23.6887702941895,0.0944016534679134,0,0.184453124829209,55,757,0.0677339901477833,812
"63",10.333,15.582397033371,14.6531920743932,2.74103620044064,11.2647470791134,23.6089869596939,0.095276019418706,0,0.185188210382114,54,753,0.0669144981412639,807
"64",10.5,15.5944411462073,14.7466654995542,2.71181434384393,10.605779532901,23.5697477732163,0.0961227868723156,0,0.18635604282848,54,761,0.0662576687116564,815
"65",10.667,15.5778405676136,14.7167265242577,2.71537003931199,9.97466766675436,23.5641669373195,0.0965932335802043,0,0.186337965602384,53,758,0.0653514180024661,811
"66",10.833,15.6398091694441,14.7249040949705,2.75499387083855,10.5883537583038,23.5426676443049,0.0967506804538772,0,0.187374048760638,57,764,0.0694275274056029,821
"67",11,15.5820548428767,14.6676945565317,2.7443395285113,10.6717780764705,23.4864072600159,0.095748990782594,0,0.184943345988029,57,766,0.0692588092345079,823
"68",11.167,15.5829242088556,14.6677411548635,2.73718282426554,11.0685948409635,23.6841678619385,0.0960708687949206,0,0.184977101546822,57,771,0.0688405797101449,828
"69",11.333,15.5418971056495,14.696425650917,2.71385472252797,11.1330876180012,23.6738090515137,0.0949729355858155,0,0.1836059838166,56,774,0.0674698795180723,830
"70",11.5,15.5233192730037,14.6528576585406,2.68804031281423,9.96793290873099,23.6337994708163,0.0954369313353306,0,0.183699723578909,57,778,0.0682634730538922,835
"71",11.667,15.5989150456566,14.6792587899473,2.75242166772082,9.38721214309123,23.5356193514668,0.0953198254389571,0,0.18297171610336,57,788,0.0674556213017752,845
"72",11.833,15.604777467379,14.6956119998698,2.74549586657088,10.4404144494427,23.4725836183273,0.0955059154257167,0,0.183358525128674,56,793,0.0659599528857479,849
"73",12,15.5793640990379,14.6716851414137,2.76588983648152,10.6186308758034,23.4332620620856,0.0966945109394161,0,0.184847890535719,58,797,0.0678362573099415,855
"74",12.167,15.5242693516574,14.6809305204933,2.74940185314097,10.564318900551,23.3927412294843,0.0985146618714108,0,0.187283888025461,58,792,0.0682352941176471,850
"75",12.333,15.5581257989743,14.6730028827694,2.76728554242041,9.99230901368266,23.3440448088045,0.0973386784729766,0,0.18596995507423,56,804,0.0651162790697674,860
"76",12.5,15.527436378412,14.6809541365324,2.72053053549422,8.93999481201172,23.3507289886475,0.0963787689501663,0,0.184662100603178,56,807,0.0648899188876014,863
"77",12.667,15.5306316024239,14.6626921036368,2.73441559542209,8.80397033691406,23.4458141326904,0.0984985044928643,0,0.187057438573348,59,800,0.0686845168800931,859
"78",12.833,15.5662312479536,14.6746160187377,2.76227691954002,8.83484172821045,23.5523643493652,0.0998415910266474,0,0.188610401832992,60,806,0.069284064665127,866
"79",13,15.4972263906842,14.6267981378078,2.67238237773878,9.58039951324463,23.2070715962971,0.0989573321627989,0,0.186119692230195,58,801,0.0675203725261933,859
"80",13.167,15.47752687388,14.6317284015359,2.68483222901418,9.9656978036298,23.2323069866711,0.099667190814443,0,0.186854488256601,59,806,0.0682080924855491,865
"81",13.333,15.44282330886,14.6571352434526,2.6766166138623,10.0718188089517,23.3810176849365,0.101091116056964,0,0.18912127101401,60,804,0.0694444444444444,864
"82",13.5,15.423562629112,14.6338484922365,2.67256407838926,10.3848842270149,23.5455551147461,0.101957521504998,0,0.190132684017634,59,801,0.0686046511627907,860
"83",13.667,15.4242003547384,14.6395257254752,2.64541481444186,10.5487699508667,23.1378935574939,0.102693844985469,0,0.190977487224915,62,800,0.0719257540603248,862
"84",13.833,15.4402886954954,14.6567129534737,2.65519408540464,10.3349673841694,23.132819371737,0.103268692519561,0,0.191410183820411,62,802,0.0717592592592593,864
"85",14,15.4317072249305,14.6605676829089,2.63406705769166,9.9990420615599,23.5535411834717,0.104812940695269,0,0.193716121110539,65,797,0.0754060324825986,862
"86",14.167,15.4318915430235,14.6582046735395,2.63035018604489,9.67994213104248,23.3683324398516,0.105662046531737,0,0.195546179987385,68,794,0.0788863109048724,862
"87",14.333,15.430101264944,14.6357234848834,2.64058178803501,9.11738089335268,23.3418273925781,0.10241959607435,0,0.190069710962547,62,800,0.0719257540603248,862
"88",14.5,15.3970200518634,14.5952313732831,2.59310550672913,9.23090942323148,23.0239430600453,0.103407001350506,0,0.191689720478666,63,798,0.0731707317073171,861
"89",14.667,15.3794818883285,14.5682038827695,2.58877209646845,9.25900051549636,23.2387566465496,0.104069879552424,0,0.192335859652575,63,793,0.0735981308411215,856
