"","time_mya","t_mean","t_median","t_sd","t_min","t_max","p_mean","p_median","p_sd","area_arid","area_non_arid","prop_arid","n_grid_cell"
"14",2.167,21.3394937943954,21.0392791479471,3.09348857878609,9.97897918333551,28.7413220232343,0.294470517151964,0.273033981176221,0.173243221202054,123,545,0.184131736526946,668
"15",2.333,21.8895655951383,21.5877912734923,3.04810421095412,10.7257753620471,29.1498059545169,0.290123841696018,0.26684664454726,0.173739211092245,114,554,0.170658682634731,668
"16",2.5,21.8370301527371,21.547532285081,3.02425657057213,10.8148177711398,29.010596307201,0.285777166240072,0.262791283616722,0.17426543108215,114,554,0.170658682634731,668
"17",2.667,21.8057005679277,21.4947996089555,3.00037552434756,10.9268805679424,28.8906854199019,0.281430490784125,0.259117767457867,0.174821608190577,113,555,0.169161676646707,668
"18",2.833,21.8606177151335,21.5346693940729,2.97434521524667,11.1161898200702,28.849264873123,0.277083815328179,0.256053333333333,0.175407457456151,111,557,0.166167664670659,668
"19",3,21.9977094771146,21.6183373269827,3.07735787839082,11.245697467353,29.5075914915716,0.268119537139806,0.24224,0.176024638060754,101,592,0.145743145743146,693
"20",3.167,21.7325546434514,21.4228347150027,2.93601034710924,11.2941061664804,29.4052857897186,0.265633303828744,0.240582341315806,0.17583837197381,93,567,0.140909090909091,660
"21",3.333,21.6873188552397,21.4033425774771,2.90890314159217,11.3145158474511,29.2978132971098,0.261325064562294,0.234671654664506,0.176451076950992,92,568,0.139393939393939,660
"22",3.5,21.7398009761244,21.4542937767408,2.87945079285906,11.4412791074162,29.2786716285571,0.257016825295845,0.229537241249039,0.177093588078378,91,569,0.137878787878788,660
"23",3.667,21.7701302574594,21.4802179382444,2.85165903058911,11.5439318047138,29.2395051908429,0.252708586029396,0.226644701429905,0.177765582164626,81,579,0.122727272727273,660
"24",3.833,21.6047409565135,21.3243309028911,2.83130062033287,11.3948486139955,29.0234215041227,0.248400346762947,0.22192143667755,0.178466726166887,81,579,0.122727272727273,660
"25",4,21.3906816509958,21.1085405796349,2.887089009734,11.2619253876576,28.8186016388635,0.239195249932302,0.209858238692073,0.178684591494297,80,604,0.116959064327485,684
"26",4.167,21.1822398160343,20.9866635414999,2.74662907342098,11.3112899216931,28.2294862616923,0.238742495483249,0.214857287589712,0.180056329502633,79,571,0.121538461538462,650
"27",4.333,21.1827246066172,20.975508859969,2.72270032484754,11.3531267632004,28.0444912635115,0.234485903331232,0.21254648704361,0.180808510725676,69,581,0.106153846153846,650
"28",4.5,21.0998257766105,20.8726901274184,2.70245684171558,11.3045259999056,27.7839924370232,0.230229311179216,0.211317311530318,0.181588856667907,68,582,0.104615384615385,650
