"","time_mya","t_mean","t_median","t_sd","t_min","t_max","p_mean","p_median","p_sd","prec_mean","prec_median","prec_sd","area_arid","area_non_arid","prop_arid","n_grid_cell"
"29",4.667,27.0571418643382,26.9444599151611,4.41047845090044,16.1570587158203,37.2002220153809,0.148499210110585,0,0.355734666519588,2.66087269795824,2.14690184593201,1.78968699329234,188,1078,0.148499210110585,1266
"30",4.833,27.194130470717,27.0418453216553,4.45437932215943,16.3329219818115,37.6071815490723,0.150512214342002,0,0.357713743498346,2.65622299596891,2.13927578926086,1.78849351870517,191,1078,0.150512214342002,1269
"31",5,27.2549511319977,27.1525373458862,4.51301518866042,15.5618944168091,38.0141448974609,0.154325798908807,0,0.361401643690847,2.6339492995905,2.12281787395477,1.77425445115797,198,1085,0.154325798908807,1283
"32",5.167,27.1775133938799,27.0792627334595,4.4877550295696,15.5945625305176,38.0068359375,0.155833985904464,0,0.362839978724323,2.60423849500921,2.11520159244537,1.73531792058854,199,1078,0.155833985904464,1277
"33",5.333,27.0929771307558,27.0250663757324,4.4589694451398,15.6272306442261,37.9995231628418,0.158555729984301,0,0.365404727286912,2.57637671667674,2.10440754890442,1.71398067929816,202,1072,0.158555729984301,1274
"34",5.5,26.9850649838779,26.9542407989502,4.42445184214712,15.6598997116089,37.7181205749512,0.159055118110236,0,0.365871549393258,2.56523777915832,2.09451866149902,1.70648378325518,202,1068,0.159055118110236,1270
"35",5.667,26.9146564964555,26.8490123748779,4.41013365699211,15.6925678253174,37.7171440124512,0.159716758457907,0,0.366487367554737,2.54534197401287,2.0923593044281,1.67871644327474,203,1068,0.159716758457907,1271
"36",5.833,26.8704453335558,26.8304634094238,4.42015588129482,15.7252359390259,37.7161674499512,0.159090909090909,0,0.365904247042262,2.55269695582476,2.09411811828613,1.68223932913828,203,1073,0.159090909090909,1276
"37",6,26.7753743791276,26.7478914260864,4.4165176052074,15.7579040527344,37.7151908874512,0.159749412685983,0,0.366517030156896,2.53419505708283,2.08704793453217,1.67300987931249,204,1073,0.159749412685983,1277
"38",6.167,26.658010030352,26.6812629699707,4.40891645331167,15.7905721664429,37.7142143249512,0.16025137470542,0,0.366983196237687,2.50266447879358,2.07947373390198,1.6278572508514,204,1069,0.16025137470542,1273
"39",6.333,26.5611295659448,26.6297302246094,4.38042057848799,15.8232412338257,37.7132377624512,0.160125588697017,0,0.366866500230273,2.49966149531995,2.07763910293579,1.62375506934808,204,1070,0.160125588697017,1274
"40",6.5,26.441696991819,26.5194311141968,4.38729487094231,15.3169946670532,37.7122611999512,0.16,0,0.366749907301276,2.48713184994586,2.07652962207794,1.60745717379246,204,1071,0.16,1275
"41",6.667,26.3390483473927,26.4036989212036,4.37381070259398,15.2290296554565,37.1261100769043,0.161340607950117,0,0.367988263474335,2.48652948080739,2.0747686624527,1.60962103730662,207,1076,0.161340607950117,1283
"42",6.833,26.2353360652924,26.3069896697998,4.37821082629699,15.2975702285767,37.1098518371582,0.161616161616162,0,0.368241416163924,2.47812454302271,2.07442760467529,1.60147526158592,208,1079,0.161616161616162,1287
"43",7,26.1484020016774,26.2493181228638,4.36975308467633,15.3661108016968,37.0935974121094,0.162393162393162,0,0.368954461000604,2.4577918366349,2.07096350193024,1.56544709912977,209,1078,0.162393162393162,1287
"44",7.167,26.066932833308,26.2008781433105,4.34931250164195,15.4346513748169,37.0773391723633,0.166146645865835,0,0.372357475188964,2.43787542599182,2.01998734474182,1.59853741534034,213,1069,0.166146645865835,1282
"45",7.333,26.0200476852433,26.1501350402832,4.34641494753497,15.503191947937,37.0610847473145,0.169781931464174,0,0.375587395440845,2.42586473575759,1.98299551010132,1.64273464254978,218,1066,0.169781931464174,1284
