"genus","species","scientific_name_intepreted","catalogue_number","institution","decimal_latitude_wgs84","decimal_longitude_wgs84","year","month","day","record_id"
"Anilios","Anilios kimberleyensis","Anilios kimberleyensis","R34655","Museum and Art Gallery of the Northern Territory",-12.861,132.791,2002,4,4,"d0495505-bda6-461b-9a32-f11f30501b0a"
"Anilios","Anilios kimberleyensis","Anilios kimberleyensis","R145043","Western Australian Museum",-16.130833,123.757222,NA,NA,NA,"d4eb4972-a04f-45e5-a311-94fb212161ff"
"Anilios","Anilios kimberleyensis","Anilios kimberleyensis","R158055","Western Australian Museum",-16.139167,123.748056,NA,NA,NA,"d861e656-020b-49a2-9933-f3c2c543d123"
"Anilios","Anilios kimberleyensis","Anilios kimberleyensis","R91044","Western Australian Museum",-16.15,123.783333,NA,NA,NA,"d9b8004e-6b8f-4b5e-a141-32028b148afc"
"Anilios","Anilios kimberleyensis","Anilios kimberleyensis","1201526","",-15.39433,131.31367,2015,9,1,"daeaaafe-4204-429f-8ace-a8f8569dc3b4"
"Anilios","Anilios kimberleyensis","Anilios kimberleyensis","R171666","Western Australian Museum",-16.2225,123.449722,NA,NA,NA,"dc396453-d0d5-47ec-ad47-2a97703fc33b"
"Anilios","Anilios kimberleyensis","Anilios kimberleyensis","R168371","Western Australian Museum",-16.035556,123.523056,NA,NA,NA,"e01e1120-4c48-4506-9ddc-f0ec068f067e"
"Anilios","Anilios kimberleyensis","Anilios kimberleyensis","R168381","Western Australian Museum",-16.074444,123.549444,NA,NA,NA,"e4ffa15b-5c22-401b-b3ff-af4b470e3d27"
"Anilios","Anilios kimberleyensis","Anilios kimberleyensis","R133193","Western Australian Museum",-16.132222,123.763333,NA,NA,NA,"ed4eebed-9767-4af4-ba35-3921188e1300"
"Anilios","Anilios kimberleyensis","Anilios kimberleyensis","R171665","Western Australian Museum",-13.9925,126.398056,NA,NA,NA,"edd4e036-7cfb-4240-b6db-a3ec01e93a23"
"Anilios","Anilios kimberleyensis","Anilios kimberleyensis","R35044","Museum and Art Gallery of the Northern Territory",-14.6838,129.7425,2007,6,15,"f00bc965-d766-4585-a707-60b5b083c002"
"Anilios","Anilios kimberleyensis","Anilios kimberleyensis","R168382","Western Australian Museum",-16.042778,123.536111,NA,NA,NA,"f2768270-8e79-4fe9-b829-250eda501a62"
"Anilios","Anilios kimberleyensis","Anilios kimberleyensis","R21996","Museum and Art Gallery of the Northern Territory",-13.202,130.708,1995,11,4,"f5aab328-2e36-4dfd-828a-1fe8756d43f1"
"Anilios","Anilios kimberleyensis","Anilios kimberleyensis","R168375","Western Australian Museum",-16.088889,123.55,NA,NA,NA,"fc8db67e-f0d7-48c9-8509-89e1d0d41821"
"Anilios","Anilios leptosoma","Anilios leptosoma","R26013","Western Australian Museum",-27.95,114.633333,NA,NA,NA,"1678f6ee-dafd-4aba-95c1-83568372c8ec"
"Anilios","Anilios leptosoma","Anilios leptosoma","R55038","Western Australian Museum",-25.733333,114.283333,NA,NA,NA,"1934503f-96a6-436b-841e-55d1cdec9bc8"
"Anilios","Anilios leptosoma","Anilios leptosoma","R34649","Western Australian Museum",-27.716667,114.166667,NA,NA,NA,"221baa92-839e-4678-835a-da3eb1b5853b"
"Anilios","Anilios leptosoma","Anilios leptosoma","R136270","Western Australian Museum",-26.382778,115.463889,NA,NA,NA,"32737130-204c-4ae9-a3e6-7069c2cf9d50"
"Anilios","Anilios leptosoma","Anilios leptosoma","R146455","Western Australian Museum",-28.033333,114.666667,NA,NA,NA,"37c2f3c1-ac47-4e8b-bf65-fcfaa559d753"
"Anilios","Anilios leptosoma","Anilios leptosoma","R26012","Western Australian Museum",-27.95,114.633333,NA,NA,NA,"3b37db37-1acd-4b25-b871-7bca63fbf2f5"
"Anilios","Anilios leptosoma","Anilios leptosoma","R125964","Western Australian Museum",-27.7,114.2,NA,NA,NA,"3f4bc342-0a9e-42fa-9672-20e487578b1e"
"Anilios","Anilios leptosoma","Anilios leptosoma","R146456","Western Australian Museum",-28.033333,114.666667,NA,NA,NA,"3fadbbc5-d723-4438-8e0d-7135254e86fb"
"Anilios","Anilios leptosoma","Anilios leptosoma","R146454","Western Australian Museum",-28.033333,114.666667,NA,NA,NA,"41aea176-cdb5-42a5-a6da-1b78ddfd6e02"
"Anilios","Anilios leptosoma","Anilios leptosoma","R113008","Western Australian Museum",-28.4,114.583333,NA,NA,NA,"4871c551-1d23-46dc-ba09-f48db656e02e"
"Anilios","Anilios leptosoma","Anilios leptosoma","R13642","Western Australian Museum",-28.4,114.583333,NA,NA,NA,"4ba49449-3188-4f49-a80c-149929336290"
"Anilios","Anilios leptosoma","Anilios leptosoma","R.134146","Australian Museum",-28.35,114.6,1989,11,24,"4cc12919-6edb-46f7-b318-10e0db807101"
"Anilios","Anilios leptosoma","Anilios leptosoma","R119241","Western Australian Museum",-27.7,114.166667,NA,NA,NA,"53ff0c55-8c26-4628-aeb3-ff2028f67dcc"
"Anilios","Anilios leptosoma","Anilios leptosoma","R115121","Western Australian Museum",-28.1,115.633333,NA,NA,NA,"5551f2e1-b7ca-439a-98e5-67f946f4bf12"
"Anilios","Anilios leptosoma","Anilios leptosoma","R34580","Western Australian Museum",-27.716667,114.166667,NA,NA,NA,"6b6a0c38-9395-4743-8a4f-f68643fd5001"
"Anilios","Anilios leptosoma","Anilios leptosoma","R89435","Western Australian Museum",-27.85,114.1,NA,NA,NA,"793cab3a-ea2f-441b-b321-fe6ac2799be2"
"Anilios","Anilios leptosoma","Anilios leptosoma","R51097","Western Australian Museum",-26.966667,115.966667,NA,NA,NA,"80f62de3-3bb9-4897-892d-fa8390ad63fa"
"Anilios","Anilios leptosoma","Anilios leptosoma","R55039","Western Australian Museum",-25.733333,114.283333,NA,NA,NA,"814d46dc-7001-4c24-a21f-3858898ab5e0"
"Anilios","Anilios leptosoma","Anilios leptosoma","R113009","Western Australian Museum",-28.4,114.583333,NA,NA,NA,"8780c55b-d334-4fdc-9fd1-c07bd7aca990"
"Anilios","Anilios leptosoma","Anilios leptosoma","R26014","Western Australian Museum",-28.033333,114.666667,NA,NA,NA,"8c6367e9-f363-42ab-837d-a0f20f50034f"
"Anilios","Anilios leptosoma","Anilios leptosoma","R29624","Western Australian Museum",-27.55,114.466667,NA,NA,NA,"8e757823-0151-47aa-80ea-fc10544abc69"
"Anilios","Anilios leptosoma","Anilios leptosoma","R29623","Western Australian Museum",-27.55,114.466667,NA,NA,NA,"90cff68c-b64d-40ee-8528-4c9e0fff8354"
"Anilios","Anilios leptosoma","Anilios leptosoma","R135647","Western Australian Museum",-27.390556,114.752778,NA,NA,NA,"910b7b03-6829-4a62-9ca0-878407a27b28"
"Anilios","Anilios leptosoma","Anilios leptosoma","74469721","",-27.7073,114.1685,2009,3,17,"99e798e7-c663-4fb7-8c85-f80372b50142"
"Anilios","Anilios leptosoma","Anilios leptosoma","R57545","Western Australian Museum",-28.083333,115.3,NA,NA,NA,"9a01bd09-1bcf-4b6b-bc05-38074a405fb3"
"Anilios","Anilios leptosoma","Anilios leptosoma","R136311","Western Australian Museum",-26.382778,115.463889,NA,NA,NA,"9b1ab2a9-6ee2-495f-a3ed-2fc1caa88b0e"
"Anilios","Anilios leptosoma","Anilios leptosoma","R113007","Western Australian Museum",-28.4,114.583333,NA,NA,NA,"9eb30144-a27f-44b4-a5a2-1ac2db8c8ce6"
"Anilios","Anilios leptosoma","Anilios leptosoma","R34581","Western Australian Museum",-27.716667,114.166667,NA,NA,NA,"a97d9851-7c3e-42cf-979d-fedd9153d601"
"Anilios","Anilios leptosoma","Anilios leptosoma","R114893","Western Australian Museum",-28.766667,114.616667,NA,NA,NA,"b15dbea5-3d1c-46e5-9d31-1071ea96d2ab"
"Anilios","Anilios leptosoma","Anilios leptosoma","R125963","Western Australian Museum",-27.7,114.2,NA,NA,NA,"c3aea1ab-abe9-40d8-9126-03ada6afcfd1"
"Anilios","Anilios leptosoma","Anilios leptosoma","R146459","Western Australian Museum",-28.033333,114.666667,NA,NA,NA,"d6bf2d70-3392-4f0d-9406-aca10f9d24bd"
"Anilios","Anilios leptosoma","Anilios leptosoma","R66343","Western Australian Museum",-26.875,114.166667,NA,NA,NA,"dc3c997f-dc3c-4be2-acc6-901a1dba3206"
"Anilios","Anilios leptosoma","Anilios leptosoma","R129778","Western Australian Museum",-27.897778,114.166944,NA,NA,NA,"ebe7e578-4e0d-49af-8db5-d997e7ed0cde"
"Anilios","Anilios leptosoma","Anilios leptosoma","R114894","Western Australian Museum",-28.766667,114.616667,NA,NA,NA,"ec230b94-7d52-4f30-b22d-0348f98cd3f3"
"Anilios","Anilios leptosoma","Anilios leptosoma","R142023","Western Australian Museum",-27.914167,115.146944,NA,NA,NA,"faeacb68-20ff-44de-a736-05579971326b"
"Anilios","Anilios leptosoma","Anilios leptosoma","R57392","Western Australian Museum",-26.183333,114.55,NA,NA,NA,"fc1cdea3-1e04-4ac4-8f9d-b36edd0adb16"
"Anilios","Anilios leptosoma","Anilios leptosoma","R114892","Western Australian Museum",-28.766667,114.616667,NA,NA,NA,"ffbc583a-ab0b-4bf6-936f-1dfd7b96737b"
"Anilios","Anilios leucoproctus","Anilios leucoproctus","J87547","Queensland Museum",-10.166944,142.133333,2009,6,4,"015e7c87-15ad-4f42-899a-699c6465716d"
"Anilios","Anilios leucoproctus","Anilios leucoproctus","J87198","Queensland Museum",-10.1819728533208,142.267536639335,2008,4,2,"044df736-6daf-43f8-9b50-f3f0464930d2"
"Anilios","Anilios leucoproctus","Anilios leucoproctus","R.58961","Australian Museum",-10.116,142.116,1976,12,16,"0b5ca345-2137-451f-9a89-64d69b8cee12"
