genus,species,scientific_name_intepreted,catalogue_number,omit,institution,decimal_latitude_wgs84,decimal_longitude_wgs84,year,month,day,record_id,omit
Anilios,Anilios affinis,Anilios affinis,J61423,,Queensland Museum,-23.666667,148.1,1996,2,14,be742dbc-dc20-485a-8b97-6a6aedb18f50,
Anilios,Anilios affinis,Anilios affinis,R.64980,,Australian Museum,-28.066,145.683,NA,NA,NA,c5d0096c-56d9-45e2-be06-039208efe0aa,
Anilios,Anilios affinis,Anilios affinis,R.178262,,Australian Museum,-23.716,149.666,1946,12,26,c93180a4-95f2-431b-aca1-9b45bd8885cf,
Anilios,Anilios affinis,Anilios affinis,J60651,,Queensland Museum,-19.333333,146.766667,1995,9,15,d0bb384d-eab1-4759-9f5a-a93bc11e5aa3,
Anilios,Anilios affinis,Anilios affinis,J5262,,Queensland Museum,-26.333333,148.183333,NA,NA,NA,d2ba38ed-9401-4121-b038-ba275a3c64b4,
Anilios,Anilios affinis,Anilios affinis,J76969,,Queensland Museum,-22.711111,147.514722,2000,10,18,d48f1df5-1353-46cb-80ec-5773e7fe0a51,
Anilios,Anilios affinis,Anilios affinis,J11631,,Queensland Museum,-24.566667,149.983333,NA,NA,NA,d72dc44d-cfd0-48ac-b6b8-626be3585cc8,
Anilios,Anilios affinis,Anilios affinis,J11630,,Queensland Museum,-24.566667,149.983333,NA,NA,NA,dcb9cc6f-4401-4275-bcf0-4f8cd40704b0,
Anilios,Anilios affinis,Anilios affinis,R3821.B,,South Australian Museum,-19.6,146.83,NA,NA,NA,e423da00-04b9-43d8-93e7-34824c9066f1,
Anilios,Anilios affinis,Anilios affinis,J91141,,Queensland Museum,-21.54781645,147.9308955,2011,11,25,e750daa8-0e5a-4e53-9b76-18344d529a53,
Anilios,Anilios affinis,Anilios affinis,J77600,,Queensland Museum,-23.283333,150.8,2002,4,29,e7d0949d-8060-4fc8-beb7-323373c4ab3c,
Anilios,Anilios affinis,Anilios affinis,J37050,,Queensland Museum,-23.516667,148.166667,1977,12,13,ea5d61bc-e2af-449b-9675-29583874b700,
Anilios,Anilios affinis,Anilios affinis,J5263,,Queensland Museum,-26.333333,148.183333,NA,NA,NA,eaa2de86-87ad-4adb-a720-af3181137fbe,
Anilios,Anilios affinis,Anilios affinis,J76612,,Queensland Museum,-25.09,147.866111,1999,1,20,f2f4a07f-0849-43cc-b83a-d1a1f7646a59,
Anilios,Anilios affinis,Anilios affinis,J46706,,Queensland Museum,-22.816667,145.366667,1987,3,6,f37af6cd-c395-434c-8575-a46b0ce87e9a,
Anilios,Anilios affinis,Anilios affinis,J61813,,Queensland Museum,-19.4,146.783333,1982,2,26,f8ce6914-0838-4ce1-8769-ebf131f00f92,
Anilios,Anilios affinis,Anilios affinis,R.135419,,Australian Museum,-29.1,146.266,1991,11,10,f9a4425e-4e70-411c-adc3-2903f7395024,
Anilios,Anilios affinis,Anilios affinis,J45432,,Queensland Museum,-24.333333,151.566667,NA,NA,NA,faed99e3-c6f9-41a7-97be-4d28c60181e3,
Anilios,Anilios affinis,Anilios affinis,J77031,,Queensland Museum,-23.283333,150.8,NA,NA,NA,fddfde3f-bbf7-4b3b-a643-aa120e23117e,
Anilios,Anilios ammodytes,Anilios ammodytes,R158199,,Western Australian Museum,-22.221667,119.024722,NA,NA,NA,012f914b-076d-47df-b59e-cd109c4aacdf,
Anilios,Anilios ammodytes,Anilios ammodytes,R154246,,Western Australian Museum,-22.299167,119.022778,NA,NA,NA,016a9cfd-1f70-4fc3-8f5f-f12d078dd47b,
Anilios,Anilios ammodytes,Anilios ammodytes,R160005,,Western Australian Museum,-20.949722,117.849722,NA,NA,NA,0223a7b3-dc9c-4c93-9573-9590c6c9dee9,
Anilios,Anilios ammodytes,Anilios ammodytes,R146618,,Western Australian Museum,-22.5,119.09,NA,NA,NA,03fe6411-0dd1-4b88-82e8-48a89dbd1d93,
Anilios,Anilios ammodytes,Anilios ammodytes,R157005,,Western Australian Museum,-22.414444,119.006667,NA,NA,NA,06df9ffe-3d29-4400-ab79-d61678fe0fe5,
Anilios,Anilios ammodytes,Anilios ammodytes,R154290,,Western Australian Museum,-22.259167,119.026389,NA,NA,NA,07e2d8be-b6b7-4c25-aab3-d34224d9bb00,
Anilios,Anilios ammodytes,Anilios ammodytes,R161544,,Western Australian Museum,-20.739167,120.893889,NA,NA,NA,092ef5a6-1fd8-47c3-80eb-605d51c77987,
Anilios,Anilios ammodytes,Anilios ammodytes,R146592,,Western Australian Museum,-22.39,118.98,NA,NA,NA,09b3d468-ed3c-468b-ae64-0eccadcb7988,
Anilios,Anilios ammodytes,Anilios ammodytes,R163235,,Western Australian Museum,-22.971389,119.251111,NA,NA,NA,0a1b1b91-4226-4cc4-a9dd-3cface43b69c,
Anilios,Anilios ammodytes,Anilios ammodytes,R154266,,Western Australian Museum,-22.299167,119.022778,NA,NA,NA,0a5e1b5e-fed3-4377-bb86-d090660d6fce,
Anilios,Anilios ammodytes,Anilios ammodytes,R162018,,Western Australian Museum,-22.255278,115.436389,NA,NA,NA,0b0cd726-4576-4009-b5e2-08c04df3a858,
Anilios,Anilios ammodytes,Anilios ammodytes,R145624,,Western Australian Museum,-22.36,119.99,NA,NA,NA,0bcd2844-d1e0-426d-b605-e68d3c5b3d66,
Anilios,Anilios ammodytes,Anilios ammodytes,R162035,,Western Australian Museum,-22.255833,115.490278,NA,NA,NA,0c8b6ca9-4bfa-44be-8f1b-1e1658eeb110,
Anilios,Anilios ammodytes,Anilios ammodytes,R127814,,Western Australian Museum,-22.808056,117.748889,NA,NA,NA,0cf8be91-44f3-4cda-9366-8063e0a4693c,
Anilios,Anilios ammodytes,Anilios ammodytes,R160181,,Western Australian Museum,-21.4075,120.071111,NA,NA,NA,0d4d9d2d-2ea7-48ea-ab24-1e9c1791d39f,
Anilios,Anilios ammodytes,Anilios ammodytes,R162120,,Western Australian Museum,-22.74,116.461111,NA,NA,NA,0dec718b-ebcb-4cd1-be3c-2c1b5baaae59,
Anilios,Anilios ammodytes,Anilios ammodytes,R154863,,Western Australian Museum,-20.846667,121.0875,NA,NA,NA,0f2c8893-c02a-4bf4-a7dd-80ce5262dfd1,
Anilios,Anilios ammodytes,Anilios ammodytes,R158159,,Western Australian Museum,-22.660833,119.918611,NA,NA,NA,1441d965-b151-4427-a2dd-10c838833fd0,
Anilios,Anilios ammodytes,Anilios ammodytes,R161898,,Western Australian Museum,-21.236667,119.408333,NA,NA,NA,1593b8a9-b6f1-4aed-9f4a-5c0b7b5620dd,
Anilios,Anilios ammodytes,Anilios ammodytes,R146748,,Western Australian Museum,-20.47,118.59,NA,NA,NA,16b41028-7b0c-4456-84c6-3ce3b20ba610,
Anilios,Anilios ammodytes,Anilios ammodytes,R61493,,Western Australian Museum,-22.3,113.816667,NA,NA,NA,16cced0b-039a-4852-baf2-6338fecd599c,
Anilios,Anilios ammodytes,Anilios ammodytes,R145546,,Western Australian Museum,-20.91,118.68,NA,NA,NA,1b11c146-26fb-41ed-9075-509f4f92ba9c,
Anilios,Anilios ammodytes,Anilios ammodytes,R29499,,Western Australian Museum,-21.9,120.1,NA,NA,NA,1eb903bc-0af5-4fe0-a594-c79beb92b105,
Anilios,Anilios ammodytes,Anilios ammodytes,R156462,,Western Australian Museum,-22.349722,119.291111,NA,NA,NA,1ec8e45f-f53f-4a05-96d1-3395b4364d37,
Anilios,Anilios ammodytes,Anilios ammodytes,R100296,,Western Australian Museum,-20.65,115.566667,NA,NA,NA,1fd5a180-f15c-49ea-bb02-bb0745c69096,
Anilios,Anilios ammodytes,Anilios ammodytes,R110247,,Western Australian Museum,-22.660833,119.918611,NA,NA,NA,20693308-529a-4873-8380-e70459491809,
Anilios,Anilios ammodytes,Anilios ammodytes,R164513,,Western Australian Museum,-21.778889,115.366944,NA,NA,NA,207947dc-634c-4fb5-8929-77ac7fa74882,
Anilios,Anilios ammodytes,Anilios ammodytes,R166502,,Western Australian Museum,-21.659444,121.241667,NA,NA,NA,209a1af1-655d-48b2-95d1-63772f2932af,
Anilios,Anilios ammodytes,Anilios ammodytes,R146675,,Western Australian Museum,-21.06,118.75,NA,NA,NA,2131ddf1-bac8-4e52-a626-350e12b1ea73,
Anilios,Anilios ammodytes,Anilios ammodytes,R161580,,Western Australian Museum,-20.346389,118.893056,NA,NA,NA,2185fb70-bd70-44eb-8091-9ba1a493991f,
Anilios,Anilios ammodytes,Anilios ammodytes,R163098,,Western Australian Museum,-23.053611,119.176667,NA,NA,NA,225d1eae-592c-47cb-b440-ad454166f5cd,
Anilios,Anilios ammodytes,Anilios ammodytes,R165931,,Western Australian Museum,-20.876667,120.079444,NA,NA,NA,235bb871-2cce-42a2-a34d-7401a25b11f4,
Anilios,Anilios ammodytes,Anilios ammodytes,R121995,,Western Australian Museum,-22.916667,119.216667,NA,NA,NA,238bc5bd-ca97-4db7-8030-feedc51e2d5a,
